Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxNesting,RatioCommentToCode
Function,complPoly,1,4,0,4,1,3,0,0,0,2,3,3,0,0,3,1,0,0
Function,ComWidth,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,ConstBoxFromSM,3,10,0,10,1,4,0,0,0,2,7,4,0,0,4,2,1,0
Function,CopyBitMap,5,6,0,6,3,3,0,0,0,4,6,7,2,0,5,2,1,0
Function,CopyBMOBPict,5,13,0,13,3,10,1,0,0,4,12,15,3,0,12,3,1,0.08
Function,CopyToSpare,1,7,0,7,2,3,0,0,0,2,5,5,1,0,4,2,1,0
Function,CopyWNotice,2,14,0,14,7,10,0,0,0,6,12,17,7,0,10,1,0,0
Function,CopyWText,3,5,0,5,1,3,0,0,0,2,3,3,0,0,3,1,0,0
Function,CPClearBut,0,8,0,8,2,2,0,0,0,0,6,5,1,0,4,3,1,0
Function,CPInit,1,32,4,27,3,2,1,0,0,3,21,6,3,0,3,2,1,0.04
Function,CPShowAct,2,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,CursInst,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Function,CycPaint,5,8,0,8,2,1,0,0,0,1,4,2,1,0,1,2,1,0
Function,DecPen,2,2,0,2,1,2,0,0,0,2,2,3,0,0,3,2,1,0
Function,DefaultCursor,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
Function,DefaultPaintCursor,2,3,0,3,1,1,0,0,0,2,1,1,0,0,1,2,0,0
Function,DefaultPalette,1,1,0,1,1,1,0,0,0,3,2,2,0,0,2,1,0,0
Function,diagOctChange,1,11,0,11,1,2,0,0,0,3,9,2,0,0,2,1,0,0
Function,DisableAbort,0,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,DispActMenu,4,20,0,20,6,7,0,0,0,5,17,13,5,0,8,2,1,0
Function,DispAndSetMode,3,4,0,4,3,2,0,0,0,3,3,4,2,0,2,1,0,0
Function,DispAvailMem,3,10,0,10,4,4,0,0,0,4,6,9,5,0,4,2,1,0
Function,DispNum,4,8,0,8,5,5,1,0,0,5,8,12,5,0,7,2,1,0.13
Function,DispPntMode,6,17,0,10,3,2,7,0,0,2,6,4,2,0,2,2,1,0.7
Function,DispXY,1,11,0,11,2,1,0,0,0,1,7,2,1,0,1,2,1,0
Function,DoBlend,3,24,0,24,8,9,1,0,0,1,21,17,8,1,8,6,2,0.04
Function,DoBrs,2,30,0,30,3,27,0,0,0,14,42,70,2,0,68,22,2,0
Function,dogrid,0,6,0,6,3,2,0,0,0,3,4,4,2,0,2,1,0,0
Function,domag,0,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,DoMessage,2,79,3,58,7,33,12,4,6,12,48,48,7,0,41,10,3,0.21
Function,DoMode,1,8,0,8,2,3,0,0,0,2,5,4,1,0,3,2,1,0
Function,DoOpen,0,1,0,1,1,1,0,0,0,3,3,5,2,0,3,1,0,0
Function,doRead,0,4,0,4,3,1,0,0,0,1,3,4,3,0,1,1,0,0
Function,DoSave,0,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,0,0
Function,DoSaveAs,0,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,0,0
Function,DoSelBr,1,32,0,32,10,27,1,0,0,11,28,28,9,0,19,4,1,0.03
Function,DoShade,7,18,0,18,8,15,0,0,0,2,20,25,8,2,15,8,1,0
Function,DoSmear,6,8,0,8,3,6,1,0,0,6,9,10,2,0,8,3,1,0.13
Function,doStretch,5,25,0,21,5,24,0,2,2,11,14,22,4,0,18,5,2,0
Function,doSymCenter,0,1,0,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0
Function,DoSymReq,0,10,0,10,7,4,1,0,0,5,8,10,6,0,4,1,0,0.1
Function,DotBFromRad,1,1,0,1,1,1,0,0,0,1,2,1,0,0,1,1,0,0
Function,DoText,4,4,0,4,3,2,0,0,0,4,4,4,2,0,2,1,0,0
Function,DotInfo,1,5,0,5,2,3,0,0,0,3,4,4,1,0,4,2,1,0
Function,DotsPen,4,9,0,9,3,8,0,0,0,5,8,8,2,0,6,4,0,0
Function,DPInit,15,138,33,93,25,62,12,9,2,35,83,100,24,6,70,15,3,0.13
Function,Dubl,2,3,0,3,1,2,0,0,0,3,2,4,1,0,3,3,1,0
Function,DupBitMap,5,4,0,4,2,1,0,0,0,2,3,2,1,0,1,1,0,0
Function,EnableAbort,0,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,EncloseBox,5,12,0,12,1,4,1,0,0,2,9,4,0,0,4,4,1,0.08
Function,EndCycPaint,2,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,endrot,2,17,0,17,9,12,2,0,0,8,13,21,9,0,12,2,1,0.12
Function,endShrob,2,5,0,5,1,3,0,0,0,2,3,3,0,0,3,1,0,0
Function,EraseBox,3,4,0,4,2,1,0,0,0,4,4,4,1,0,3,2,1,0
Function,EraseTempChg,3,7,0,7,2,4,1,0,0,5,4,6,1,0,5,2,1,0.14
Function,ExtractBMOB,7,30,2,22,5,13,9,0,0,5,21,22,5,0,17,3,1,0.41
Function,FCircTypeOps,4,4,0,4,1,1,0,0,0,2,3,1,0,0,1,1,0,0
Function,FillBitMap,0,4,0,4,1,0,0,0,0,1,6,0,0,0,0,1,0,0
Function,FixMag,6,32,6,25,3,16,1,0,0,6,23,19,3,0,16,6,2,0.04
