Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"BoxTwoPts",,,,,,,,,,,,,,,,,,,6,5,0,5,1,2,0,0,0,1,9,17,0,4,13,3,,1,,0.00,
Function,"BrBgToFg",,,,,,,,,,,,,,,,,,,3,5,0,5,3,3,0,0,0,2,3,6,2,0,4,2,,1,,0.00,
Function,"BrBox",,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,0,0,2,4,4,0,0,4,4,,1,,0.00,
Function,"BrDubl",,,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,0,,0.00,
Function,"BrDublX",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,0,,0.00,
Function,"BrDublY",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,0,,0.00,
Function,"BrFlipX",,,,,,,,,,,,,,,,,,,4,7,0,7,3,5,0,0,0,3,5,11,3,0,8,4,,1,,0.00,
Function,"BrFlipY",,,,,,,,,,,,,,,,,,,4,7,0,7,1,5,0,0,0,3,5,9,1,0,8,4,,1,,0.00,
Function,"BrHalf",,,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,,0,,0.00,
Function,"BrRemapCols",,,,,,,,,,,,,,,,,,,3,11,0,10,4,3,1,0,0,2,7,7,3,0,4,2,,1,,0.10,
Function,"BrRot90",,,,,,,,,,,,,,,,,,,3,23,1,22,11,13,1,0,0,10,18,25,10,0,15,4,,1,,0.05,
Function,"BrushDefined",,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,,0,,0.00,
File,"CCYCLE.C",5,0,5,0,2,0.00,0.00,0,0,,,,15,,,,,,,191,43,124,113,69,21,0,5,,105,109,49,0,60,,7,4,,0.17,31
File,"CHPROC.C",17,2,12,4,9,0.00,0.00,0,0,,,,11,,,,,,,253,41,166,81,106,60,14,13,,208,347,105,1,241,,74,3,,0.36,95
