Kind,Name,AvgCountLine,AvgCountLineCode,AvgCyclomatic,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic
File,PANE.C,12,10,3,23,417,54,274,93,101,46,31,24,217,224,96,10,118,13,4,0.17,62
File,PENMENU.C,0,0,0,0,29,4,22,22,22,2,0,0,1,1,1,0,0,0,0,0.09,0
File,PGRAPH.C,5,5,2,23,313,53,202,226,61,37,8,24,159,139,76,0,63,6,3,0.18,37
File,PLBM.H,0,0,0,0,101,18,45,41,4,40,0,11,36,43,43,0,0,0,0,0.89,0
File,PNTS.H,0,0,0,0,28,2,8,0,0,11,0,12,7,1,1,0,0,0,0,1.38,0
File,POLYF.C,7,7,1,14,155,24,117,44,131,9,0,6,103,107,57,0,50,3,2,0.08,19
File,POLYH.C,4,4,1,7,57,12,33,32,45,6,0,5,28,43,24,0,19,2,1,0.18,8
File,PRINT.C,8,8,1,1,64,6,49,17,3,5,0,3,39,31,28,0,3,1,0,0.1,1
File,PRISM.C,5,5,1,26,380,61,252,370,80,55,8,18,205,248,173,0,75,4,3,0.22,37
File,PRISM.H,0,0,0,0,415,67,71,0,0,124,0,194,75,105,105,0,0,0,0,1.75,0
File,PSYM.C,17,17,3,3,133,22,81,16,18,19,0,13,83,42,25,0,17,6,1,0.23,8
File,RANDOM.C,3,3,1,2,36,9,16,4,3,9,0,1,15,8,6,0,2,1,0,0.56,2
File,REMAP.C,11,10,2,1,171,28,80,8,3,31,21,11,79,13,9,0,4,2,1,0.39,2
File,REQCOM.C,0,0,0,0,74,11,26,1,0,16,6,15,20,2,2,0,0,0,0,0.62,0
File,ROT90.C,30,29,6,2,79,7,60,17,28,11,0,3,56,58,23,1,34,7,4,0.18,11
File,ROTATE.C,4,4,1,8,202,32,137,26,15,12,6,17,135,52,37,0,15,2,1,0.09,9
File,SHADE.C,18,18,8,1,195,24,86,20,36,23,51,14,80,44,27,2,15,8,1,0.27,8
File,SHEAR.C,7,7,2,6,137,18,69,60,86,8,35,6,60,63,30,0,33,5,2,0.12,12
File,SPARE.C,7,7,2,9,109,18,82,85,34,5,0,3,66,82,43,1,38,4,2,0.06,17
File,STRETCH.C,6,6,2,8,237,29,171,32,118,25,4,14,155,79,39,0,40,5,2,0.15,16
File,SYMREQ.C,13,12,3,4,376,69,240,287,23,59,2,25,121,95,69,1,25,6,2,0.25,10
File,SYSTEM.H,0,0,0,0,76,20,0,0,0,22,0,33,0,0,0,0,0,0,0,0,0
File,TEXT.C,5,5,2,14,200,35,143,49,45,11,6,7,143,124,55,5,64,11,2,0.08,27
File,TIMER.C,4,4,1,3,63,7,28,7,4,24,0,4,22,17,13,0,4,2,1,0.86,4
File,UNPACKER.C,0,0,0,0,58,9,31,1,0,17,0,3,26,1,1,0,0,0,0,0.55,0
